year,population_group,age,number
2000,jews_and_others_male,18,43947.5
2000,jews_and_others_male,19,43533
2000,jews_and_others_male,2,47426.5
2000,jews_and_others_male,20,43140.5
2000,jews_and_others_male,20-24,216150
2000,jews_and_others_male,21,42720.5
2000,jews_and_others_male,22,42653.5
2000,jews_and_others_male,23,43489
2000,jews_and_others_male,24,44146.5
2000,jews_and_others_male,25,42902
2000,jews_and_others_male,25-29,200619
2000,jews_and_others_male,26,40924
2000,jews_and_others_male,27,39552.5
2000,jews_and_others_male,28,38986.5
2000,jews_and_others_male,29,38254
2000,jews_and_others_male,3,46529.5
2000,jews_and_others_male,30,36083.5
2000,jews_and_others_male,30-34,164300
2000,jews_and_others_male,31,33943.5
2000,jews_and_others_male,32,32197.000000000004
2000,jews_and_others_male,33,31136
2000,jews_and_others_male,34,30940
2000,jews_and_others_male,35,30623.5
2000,jews_and_others_male,35-39,150775
2000,jews_and_others_male,36,30125.5
2000,jews_and_others_male,37,29615.5
2000,jews_and_others_male,38,29756.5
2000,jews_and_others_male,39,30654
2000,jews_and_others_male,4,45370.5
2000,jews_and_others_male,40,31122
2000,jews_and_others_male,40-44,154507.5
2000,jews_and_others_male,41,30750
2000,jews_and_others_male,42,30710
2000,jews_and_others_male,43,30795
2000,jews_and_others_male,44,31130.5
2000,jews_and_others_male,45,31284
2000,jews_and_others_male,45-49,158652.5
2000,jews_and_others_male,46,31234
2000,jews_and_others_male,47,31828
2000,jews_and_others_male,48,32296
2000,jews_and_others_male,49,32010.5
2000,jews_and_others_male,5,44511
2000,jews_and_others_male,5-9,219725
2000,jews_and_others_male,50,30568.5
2000,jews_and_others_male,50-54,145393
2000,jews_and_others_male,51,29322
2000,jews_and_others_male,52,30467
2000,jews_and_others_male,53,29798
2000,jews_and_others_male,54,25237.5
2000,jews_and_others_male,55,20541.5
2000,jews_and_others_male,55-59,86197.5
2000,jews_and_others_male,56,17399
2000,jews_and_others_male,57,15717
2000,jews_and_others_male,58,15880.5
2000,jews_and_others_male,59,16659.5
2000,jews_and_others_male,6,44239
2000,jews_and_others_male,60,17099
2000,jews_and_others_male,60-64,87828
2000,jews_and_others_male,61,17685
2000,jews_and_others_male,62,18325
2000,jews_and_others_male,63,17891
2000,jews_and_others_male,64,16828
2000,jews_and_others_male,65,15872
2000,jews_and_others_male,65-69,74809.5
2000,jews_and_others_male,66,14918.5
2000,jews_and_others_male,67,14874.5
2000,jews_and_others_male,68,14548
2000,jews_and_others_male,69,14596.5
2000,jews_and_others_male,7,44128
2000,jews_and_others_male,70,14339.5
2000,jews_and_others_male,70-74,66003
2000,jews_and_others_male,71,13494
2000,jews_and_others_male,72,13135
2000,jews_and_others_male,73,12685
2000,jews_and_others_male,74,12349.5
2000,jews_and_others_male,75,11924.5
2000,jews_and_others_male,75-79,53531.5
2000,jews_and_others_male,76,11343.5
2000,jews_and_others_male,77,10848
2000,jews_and_others_male,78,10051
2000,jews_and_others_male,79,9364.5
2000,jews_and_others_male,8,43600
2000,jews_and_others_male,80,8085.000000000001
2000,jews_and_others_male,80-84,27496.5
2000,jews_and_others_male,81,6191.5
2000,jews_and_others_male,82,4924
2000,jews_and_others_male,83,4187.5
2000,jews_and_others_male,84,4108.5
2000,jews_and_others_male,85-89,16986
2000,jews_and_others_male,9,43247
2000,jews_and_others_male,90+,6635.5
2000,jews_and_others_male,TOTAL,2508991.5
2000,jews_and_others_total,0,94326.5
2000,jews_and_others_total,0-4,458790
2000,jews_and_others_total,1,93376
2000,jews_and_others_total,10,84801
2000,jews_and_others_total,10-14,431964.5
2000,jews_and_others_total,11,85542
2000,jews_and_others_total,12,86280
2000,jews_and_others_total,13,87299.5
2000,jews_and_others_total,14,88042
2000,jews_and_others_total,15,87467
2000,jews_and_others_total,15-19,432667
2000,jews_and_others_total,16,87290
2000,jews_and_others_total,17,86956.5
2000,jews_and_others_total,18,85768
2000,jews_and_others_total,19,85185.5
2000,jews_and_others_total,2,92337.5
2000,jews_and_others_total,20,84566
2000,jews_and_others_total,20-24,425935.5
2000,jews_and_others_total,21,83829
2000,jews_and_others_total,22,84190.5
2000,jews_and_others_total,23,86151.5
2000,jews_and_others_total,24,87198.5
2000,jews_and_others_total,25,84631
2000,jews_and_others_total,25-29,398290.5
2000,jews_and_others_total,26,81054.5
2000,jews_and_others_total,27,78620.5
2000,jews_and_others_total,28,77617
2000,jews_and_others_total,29,76367.5
2000,jews_and_others_total,3,90433
2000,jews_and_others_total,30,72407.5
2000,jews_and_others_total,30-34,332552.5
2000,jews_and_others_total,31,68553.5
2000,jews_and_others_total,32,65295.50000000001
2000,jews_and_others_total,33,63304.5
2000,jews_and_others_total,34,62991.5
2000,jews_and_others_total,35,62249.5
2000,jews_and_others_total,35-39,309714.5
2000,jews_and_others_total,36,61369
2000,jews_and_others_total,37,60975
2000,jews_and_others_total,38,61618.5
2000,jews_and_others_total,39,63502.5
2000,jews_and_others_total,4,88317
2000,jews_and_others_total,40,64563.50000000001
2000,jews_and_others_total,40-44,320844
2000,jews_and_others_total,41,63872.5
2000,jews_and_others_total,42,63647
2000,jews_and_others_total,43,63930.5
2000,jews_and_others_total,44,64830.5
2000,jews_and_others_total,45,64977.99999999999
2000,jews_and_others_total,45-49,329270.5
2000,jews_and_others_total,46,64872
2000,jews_and_others_total,47,66261
2000,jews_and_others_total,48,66923.5
